SKU,판매제품명,확정품번,환산계수,분류,판정,패널분류
12641362,웰리유 김수경의 하루생식 4주분 28포 식사대용 선식,H0012,1,H 사급,자동확정,유상사급
14135298,[25년 추석] 자연다움 건강담은 건과건버섯 혼합세트 1호,H0083,1,H 사급,자동확정,유상사급
14135299,[25년 추석] 자연다움 건강담은 건과건버섯 혼합세트 2호,H0084,1,H 사급,자동확정,유상사급
69777500,자연다움 국내산 고구마 로 만든 쫀득한 고구마 롱스틱 50g  1개,H0266,1,H 사급,확정,유상사급
34926317,자연다움 건살구 100g 1개,H0190,1,H 사급,확정,유상사급
56743182,이더스 바삭한 카사바스틱 250g 1개,G0195,1,G 자사,확정,자사
71432946,이더스 오븐에 구운 국내산 고구마 말랭이 60g 1개,G0246,1,G 자사,확정,자사
36526287,자연다움 건살구 100g  * 5개,H0190,5,H 사급,확정,유상사급
69248066,이더스 매콤하게 땡기는 맛 누룽칩 김치볶음밥 330g 1개,I0148,1,I 사입(BOM無),확정,상품매입
27163535,자연다움 국내산 사양벌꿀이 첨가된 허니버터 고구마말랭이 60g 1개,G0111,1,G 자사,확정,자사
26729083,자연다움 국내산 사양벌꿀이 첨가된 허니버터 고구마말랭이 60g 5개,G0106,1,G 자사,확정,자사
69249179,이더스 부드럽고 깔끔한 맛 누룽칩 병아리콩 330g 1개,I0149,1,I 사입(BOM無),확정,상품매입
69251503,이더스 든든하게 담백한 맛 누룽칩 곤약귀리 330g 1개,I0147,1,I 사입(BOM無),확정,상품매입
26729079,자연다움 국내산 사양벌꿀이 첨가된 허니버터 고구마말랭이 60g 10개,G0107,1,G 자사,확정,자사
68968638,이더스 한입 꿀고구마 말랭이 325g (65g*5개입) 1개,G0229,1,G 자사,확정,자사
69488561,타다 바로먹는 스위트콘 더블콘 4.8kg(600g*8ea) 1개 4.8kg,H0223,8,H 사급,확정,유상사급
55621270,매홍 솥뚜껑 누룽지 800g  1개,I0136,1,I 사입(BOM無),확정,상품매입
40810945,이더스 간편하게 바로먹는 퀵오트밀 2kg 1개,G0205,1,G 자사,확정,자사
69888008,자연다움 쫀득한 무농약 고구마 롱스틱 50g x 5개,H0266,5,H 사급,확정,유상사급
71417951,이더스 누룽지 크런치 330g(110g×3개입) 1개,I0157,1,I 사입(BOM無),확정,상품매입
58406141,착한상점 국내산 무농약 군고구마 말랭이 80g×7개입 1개 560g,G0179,1,G 자사,확정,자사
54753206,구수하고 바삭한 푸짐한 현미 누룽지 800g 1개,I0103,1,I 사입(BOM無),확정,상품매입
68968707,이더스 오븐에 구운 고구마 말랭이 400g (80g*5개입) 1개,G0230,1,G 자사,확정,자사
66655651,자연다움 간편하고 든든하게 고구마 말랭이 선물세트 1세트 + 쇼핑백,H0260,1,H 사급,확정,유상사급
55621584,매홍 국내산 보리 누룽지 700g 1개,I0086,1,I 사입(BOM無),확정,상품매입
71346934,이더스 누룽지 POP 크런치 148g (37g*4개입) 1개,I0158,1,I 사입(BOM無),확정,상품매입
55620378,매홍 국내산 현미 누룽지  700g  1개,I0087,1,I 사입(BOM無),확정,상품매입
65080983,고구마 96% 이더스 노랑 고구마칩 250g 250g  1개,G0196,1,G 자사,확정,자사
66146670,고구마 96% 이더스 자색 고구마칩  250g  1개,G0197,1,G 자사,확정,자사
61437271,통째로 구워 더욱 맛있는 통 고구마바 1개 400g,G0182,1,G 자사,확정,자사
11031776,[로켓프레시] 바로먹는 퀵 오트밀 2KG(통),G0205,1,G 자사,자동확정,자사
11415512,[로켓프레시] 아침한끼 바로먹는 퀵오트밀 50g*30포,G0208,1,G 자사,자동확정,자사
11555124,[로켓프레시] 바로먹는 곤약쌀 2kg(통),I0009,1,I 사입(BOM無),자동확정,상품매입
11876578,[로켓프레시] 매홍 씻어나온 황기 210g_(봉),I0012,1,I+BOM 예외사급,자동확정,상품매입
11876582,[로켓프레시] 매홍 무농약 고구마로 만든 군고구마말랭이 80g_5개,G0010,1,G 자사,자동확정,자사
11876585,[로켓프레시] 매홍 씻어나온 둥글래 250g_(봉),I0016,1,I+BOM 예외사급,자동확정,상품매입
11959089,"[로켓프레시] 매홍 착한상점 고구마스틱, 300g ( 20g, 15개입)",G0011,1,G 자사,자동확정,자사
13256412,자연다움 간편하고 든든하게 고구마스틱 20g,I0117,1,I 사입(BOM無),자동확정,유상사급
13256417,자연다움 간편하고 든든하게 고구마스틱 400g(20g*20개입),I0110,1,I 사입(BOM無),자동확정,유상사급
13256475,자연다움 칼슘이 들어간 고구마 큐브 말랭이 60g,G0025,1,G 자사,자동확정,자사
13301058,자연다움 칼슘이 들어간 고구마 큐브 말랭이 60g*5번들,G0026,1,G 자사,자동확정,자사
13301059,자연다움 칼슘이 들어간 고구마 큐브 말랭이 60g*10번들,G0027,1,G 자사,자동확정,자사
13301060,자연다움 간편하고 든든하게 고구마스틱 100g(20g*5개입),I0116,1,I 사입(BOM無),자동확정,유상사급
13301061,자연다움 간편하고 든든하게 고구마스틱 200g(20g*10개입),I0115,1,I 사입(BOM無),자동확정,유상사급
13301062,자연다움 곤약으로 밥 200g*30번들,I0021,1,I+BOM 예외사급,자동확정,상품매입
13301063,자연다움 곤약으로 밥 200g 5번들,I0019,1,I+BOM 예외사급,자동확정,상품매입
13301064,BOX_자연다움 곤약으로 밥 200g*10번들,I0020,1,I+BOM 예외사급,자동확정,상품매입
