품번,품명,재질,사이즈,현재단가,기존도수(자동파싱),입력도수
B0001,홈플 오븐에 구운 고구마말랭이 130g 파우치,PET양면12 / DR /  NY양면15 / DR / CPR3 70,150*200+밑지70,116,,
B0006,홈플러스 아침한끼 퀵오트밀 1.5kg 파우치,양면PET16/AL6/LLDPE120/지퍼스탠드,275*350+밑지90,250,,
B0007,홈플 아침한끼 퀵오트밀 50g 롤파우치,은박(유무광)120=7도,240*500M=자동롤-이지컷,38.5,7도,
B0008,아로니아분말 200g 파우치,양면PET16/AL6/LLDPE115/지퍼스탠드,165*235+밑지60,130,,
B0009,건조맥주효모 500g 파우치,PET12 / LLDPE130,180*260+밑지60,120,,
B0012,새싹보리분말 250g 파우치,양면PET16/AL6/LLDPE115/지퍼스탠드,180*260+밑지60,135,,
B0013,농축유청분말 350g 파우치,양면PET16/AL6/LLDPE115/지퍼스탠드,200*270+밑지60,153,,
B0014,보스웰리아추출분말 200g 파우치,양면PET16/AL6/LLDPE115/지퍼스탠드,180*260+밑지60,138,,
B0033,촉촉한 군고구마말랭이 60g 파우치,양면PET16/NY15/CPR80/삼방,130*175+밑지35,70,,
B0035,무농약 고구마로 만든 군고구마말랭이 80g 파우치,PET양면12 / DR / AL7 / DR / NY양면15 / DR / CPR3 70 = 104M,145*180+밑지70,93,,
B0037,촉촉한 건망고 슬라이스 100g 파우치,패트(유무광)120,150*200+35=삼방스탠드-지퍼,75,,
B0043,착한상점 유기농쌀로 만든 누룽지 500g 파우치,양면PET16/LLDPE114/지퍼스탠드,230*280+밑지100,150,,
B0044,자연다움 화덕구이 고구마말랭이 80g 파우치,PET양면12 / DR /  NY양면15 / DR / CPR3 70,145*180+밑지70,73,,
B0048,자연다움 칼슘이 들어간 고구마 큐브말랭이 60g 파우치,PET양면12 / DR / NY양면15 / DR / CPR3 70,130*155+밑지80,75,,
B0054,자연다움 곤약으로 밥 200g 롤파우치,NY15 + LLDPE75,264*750M(자동롤),40,,
B0055,자연다움 바로먹는 퀵오트밀 500g 파우치,양면PET16/AL6/LLDPE115/지퍼스탠드,200*270+밑지100,156,,
B0056,자연다움 바로먹는 퀵오트밀 1kg 파우치,양면PET16/AL6/LLDPE115/지퍼스탠드,230*365+밑지100,218,,
B0057,자연다움 바로먹는 퀵오트밀 1.8kg 파우치,양면PET16/AL6/LLDPE115/지퍼스탠드,300*350+밑지100,275,,
B0068,자연다움 닭 한마리 간편 삼계재료 35g 파우치,패트(유무광)90,125mm*210mm=삼방,50,,
B0069,자연다움 구수한 누룽지 삼계재료 220g 파우치,패트(유무광)90,200mm*275mm=삼방,142,,
B0070,자연다움 찹쌀 누룽지 삼계재료 200g 파우치,패트(유무광)90,200mm*275mm=삼방,128,,
B0072,롯데 푸짐한 누룽지 900g 파우치,양면NY15/LLDPE115/지퍼스탠드,250*330+밑지90,180,,
B0073,롯데 푸짐한 현미누룽지 800g 파우치,양면NY15/LLDPE115/지퍼스탠드,250*330+밑지90,197,,
B0075,홈플 오븐에 구운 고구마말랭이 150g 파우치,PET양면12 / DR / NY양면15 / DR / CPR3 70,150*220+밑지80,125,,
