거래처,구분,품번,구품번,품명,MOQ,MOQ단위,MOQ수량,LT최소주,LT최대주,비고
아리랑식품,사입,I0159,I0019,자연다움 곤약으로 밥 200g*5입,15000,봉,3000,2,3,총수량 15000봉 맞춰서 진행 (품목 교차 구성 가능) · 구품번 I0019(유상사급 시절) 재고·이력 합산
아리랑식품,사입,I0160,I0020,자연다움 곤약으로 밥 200g*10입,15000,봉,1500,2,3,총수량 15000봉 맞춰서 진행 (품목 교차 구성 가능) · 구품번 I0020 합산
아리랑식품,사입,I0161,I0021,자연다움 곤약으로 밥 200g*30입,15000,봉,500,2,3,총수량 15000봉 맞춰서 진행 (품목 교차 구성 가능) · 구품번 I0021 합산
엠디에프앤팩킹,사입,H0181,,이더스 열풍으로 구운 국산 볶은 서리태 18g*20입,1,PLT,504,2,3,
참좋은식품,사입,I0141,,자연다움 쌀눈이 살아있는 바삭현미누룽지 33g*10입,12,PLT,8640,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0142,,자연다움 쌀눈이 살아있는 바삭현미누룽지 33g*20입,12,PLT,3024,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0143,,자연다움 쌀눈이 살아있는 바삭현미누룽지 33g*30입,12,PLT,2520,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0144,,해촌상사 참맛누룽지 8입,12,PLT,10080,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0145,,해촌상사 참맛누룽지 16입,12,PLT,11520,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0150,,이더스 부드러운 3분 누룽지 30g*15입,2500,단상자,2500,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0147,,이더스 누룽칩 곤약귀리 33g*10입,2500,단상자,2500,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0148,,이더스 누룽칩 김치볶음밥 33g*10입,2500,단상자,2500,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
참좋은식품,사입,I0149,,이더스 누룽칩 병아리콩 33g*10입,2500,단상자,2500,3,4,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
청통본가,사입,I0097,,자연다움 솥뚜껑 누룽지 1kg,12,PLT,5184,1,2,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
청통본가,사입,I0098,,자연다움 솥뚜껑 누룽지 2kg,12,PLT,2592,1,2,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
청통본가,사입,I0162,,자연다움 솥뚜껑 누룽지 3kg,12,PLT,1440,1,2,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
청통본가,사입,I0163,,착한상점 솥뚜껑 누룽지 3kg,12,PLT,1440,1,2,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
청통본가,사입,I0094,,라이트잇 간편하게 끓여먹는 구수한 누룽지 1kg,12,PLT,5184,1,2,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
청통본가,사입,I0095,,라이트잇 간편하게 끓여먹는 구수한 누룽지 2kg,12,PLT,2592,1,2,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
청통본가,사입,I0096,,라이트잇 간편하게 끓여먹는 구수한 누룽지 3kg,12,PLT,1440,1,2,총수량 최소 12PLT 맞춰서 진행 (품목 교차 구성 가능)
한올담,사입,I0009,,바로먹는 곤약쌀 2kg,2000,통,2000,2,3,1000통 진행도 가능하지만 부자재 및 운반비 단가 인상됨
씨케이,사입,,,건약재류(둥글래·황기 등),2,PLT,,1,2,이전 표 기준(품번·수량 미기입)
씨케이,사입,,,자연다움 닭 한마리 간편 삼계재료 35g,20000,봉,,2,4,이전 표 기준(품번·수량 미기입)
데이웰즈,시방서,,,,,,,,,시방서에 출고일 지정 → 리드타임 미적용
조운정미,시방서,,,,,,,,,시방서에 출고일 지정 → 리드타임 미적용
더고은,시방서,,,,,,,,,시방서에 출고일 지정 → 리드타임 미적용
