아마란스품번,아마란스품명,구분,BOM등록여부,판매SKU,판매제품명,박스당입수,입수추정_참고
H0009,자연다움 건포도 100g*5번들,외주,Y,,,,
H0011,자연다움 건크랜베리 100g*5번들,외주,N,,,,
H0012,웰리유 김수경의 하루생식 4주분 28포 식사대용 선식,외주,N,,,,
H0014,가볍게_아침한끼_오트밀1.5KG(봉),외주,Y,,,,
H0015,[홈플러스]유기농아로니아분말_200G(봉) (MK/외주),외주,Y,,,,
H0016,[홈플러스]건조맥주효모_500G(봉) (MK/외주),외주,Y,,,,
H0018,[홈플러스]구기자추출분말_200G(봉) (MK/외주),외주,Y,,,,
H0019,[홈플러스]제주도산_새싹보리분말_250G(봉) (MK/외주),외주,Y,,,,
H0020,[홈플러스]농축유청분말_350G(봉) (MK/외주),외주,Y,,,,
H0021,[홈플러스]보스웰리아추출분말_200G(봉) (MK/외주),외주,Y,,,,
H0023,[홈플러스]로얄젤리분말_30G(통) (MK/외주),외주,N,,,,
H0028,[로켓프레시] 촉촉한 건망고 슬라이스_100G*5개(봉),외주,Y,,,,5
H0033,[로켓프레시] 바로먹는 퀵 오트밀 2KG(통),외주,Y,,,,
H0034,[로켓프레시] 아침한끼 바로먹는 퀵오트밀 50g*30포,외주,Y,,,,
H0035,[F]건조맥주효모_450g(통) (MK/외주),외주,Y,,,,
H0038,[로켓프레시] 매홍 유기농 아로니아분말_370G(통),외주,N,,,,
H0041,자연다움 바로먹는 오트밀_1kg,외주,Y,,,,
H0042,자연다움 바로먹는 오트밀_1.8kg,외주,Y,,,,
H0043,자연다움 바로먹는 퀵오트밀_50g(10개),외주,Y,,,,
H0044,자연다움 바로먹는 퀵오트밀_50g(20개),외주,Y,,,,
H0045,자연다움 바로먹는 퀵오트밀_50g(40개),외주,Y,,,,
H0052,자연다움 건망고 슬라이스 100g_3번들,외주,N,,,,
H0053,자연다움 건망고 슬라이스 100g_5번들,외주,Y,,,,
H0054,자연다움 건망고 슬라이스 100g_7번들,외주,Y,,,,
H0057,자연다움 바로먹는 오트밀_500g,외주,Y,,,,
H0083,자연다움 건강담은 건과건버섯 혼합세트 1호,외주,N,,,,
H0084,자연다움 건강담은 건과건버섯 혼합세트 2호,외주,N,,,,
H0089,착한상점 프리미엄 오트밀 1kg 1개 1kg,외주,Y,,,,
H0108,자연다움 건포도 100g,외주,Y,,,,
H0109,자연다움 건포도 100g*3번들,외주,N,,,,
H0110,자연다움 건크랜베리 100g,외주,Y,,,,
H0111,자연다움 건크랜베리 100g*3번들,외주,Y,,,,
H0112,자연다움 몽모랑시 타트체리_100g(봉),외주,Y,,,,
H0113,자연다움 몽모랑시 타트체리_100g(봉)_3번들,외주,Y,,,,
H0114,[프레시]라이트잇바로먹는퀵오트밀1KG(통),외주,Y,,,,
H0115,[프레시]라이트잇바로먹는퀵오트밀2KG(통),외주,Y,,,,
H0124,자연다움 몽모랑시 타트체리_100g(봉)_5번들,외주,N,,,,
H0125,호두(1/4태) - 300ml,외주,N,,,,
H0127,생아몬드 - 300ml,외주,N,,,,
H0131,해바라기씨 - 300ml,외주,N,,,,
H0133,귀리쌀 - 300ml,외주,N,,,,
H0136,병아리콩 - 300ml,외주,N,,,,
H0139,건포도 - 300ml,외주,N,,,,
H0143,햄프씨드 - 300ml,외주,N,,,,
H0148,브라운렌틸콩 - 300ml,외주,N,,,,
H0154,[홈플러스]퀵오트밀_50G*25입(봉) (MK/외주),외주,Y,,,,
H0171,[홈플러스]콜라겐분말_220G(봉) (MK/외주),외주,Y,,,,
H0173,해양심층수 소금으로 맛을 더한 멸치 육수한알 90g,외주,N,,,,
H0174,해양심층수 소금으로 맛을 더한 멸치 육수한알 90g 2EA,외주,N,,,,
H0175,[홈플러스]모로오렌지_농축분말_250G(봉) (MK/외주),외주,N,,,,
H0180,[웰리유]_하루오트_2kg (MK/외주),외주,Y,,,,
H0181,[이더스 열풍으로 구운 국산 볶은 서리태 18g*20EA 360g(외주),외주,Y,,,,20
H0185,자연다움 건블루베리 100g,외주,Y,,,,
H0186,자연다움 건블루베리 100g*3번들,외주,Y,,,,
H0187,자연다움 건블루베리 100g*5번들,외주,Y,,,,
H0190,자연다움 건살구 100g(1도파우치)제품,외주,Y,,,,
H0193,자연다움 건살구100g*3번들(1도파우치)제품,외주,Y,,,,
H0197,자연다움 건살구100g*5번들(1도파우치)제품,외주,Y,,,,
H0198,홈플러스)바삭한고구마스틱_330g (제품) _ 더푸른,외주,Y,,,,
H0199,롯데마트_바삭한 고구마스틱 300g _ 더푸른,외주,Y,,,,
H0200,HBAF_고구마말랭이 60g*4번들 (데이웰즈),외주,N,,,,
H0203,[R]자연다움 화덕구이 고구마말랭이 80g_5번들 (더고은),외주,N,,,,
H0204,[R]자연다움 화덕구이 고구마말랭이 80g_10번들 (더고은),외주,N,,,,
H0205,홈플러스)DRIDE SWEET POTATO말랭이60g*3번들(데이웰즈),외주,N,,,,
H0206,미사용_이더스 볶은 현미 14g x 20ea (엠디),외주,Y,,,,20
H0207,미사용_이더스 볶은 찹쌀현미 14g x 20ea (엠디),외주,Y,,,,20
H0208,미사용_이더스 볶은 율무 12g x 20ea (엠디),외주,Y,,,,20
H0209,미사용_이더스 볶은 약콩 18g x 20ea (엠디),외주,Y,,,,20
H0210,미사용_이더스 볶은 흑미 12g x 20ea (엠디),외주,Y,,,,20
H0211,미사용_이더스 볶은 백태 18g x 20ea (엠디),외주,Y,,,,20
H0212,미사용_이더스 볶은 수수 17g x 20ea (엠디),외주,Y,,,,20
H0213,이더스 오븐에 구운 달콤한 아이스 군고구마 120g*8개 (정성),외주,Y,,,,8
H0214,[R]자연다움 화덕구이 고구마말랭이 80g_5번들 (데이웰즈),외주,N,,,,
H0215,[R]자연다움 화덕구이 고구마말랭이 80g_10번들 (데이웰즈),외주,N,,,,
H0216,고구마씬스틱50g_세븐,외주,Y,,,,
H0217,[Eatus] 바로먹는 퀵오트밀 2kg,외주,Y,,,,
H0218,[Eatus] 바로먹는 퀵오트밀 4kg,외주,Y,,,,
H0222,타다 바로먹는 스위트콘 싱글콘 340g,외주,N,,,,
H0223,타다 바로먹는 스위트콘 더블콘 600g,외주,N,,,,
H0224,홈플러스_ 바삭한 카사바 스틱 270G,외주,Y,,,,
H0225,롯데마트_간편조리 퀵 오트밀 1kg(통),외주,Y,,,,
H0226,이더스 아이스 찐옥수수 1kg(100g*10개)_정성,외주,Y,,,,10
H0227,이더스 아이스 군고구마 1kg (100g*10개)_정성,외주,Y,,,,10
H0229,홈플)DRIDE SWWET POTATO 화덕구이60g*4(데이웰즈),외주,N,,,,
H0230,홈플)DRIDE SWWET POTATO 화덕구이60g(낱봉) 데이웰즈,외주,N,,,,
H0231,홈플)DRIDE SWWET POTATO 화덕구이60g*4(더고은),외주,N,,,,
H0232,롯데마트)바삭한 카사바스틱250g _더푸른,외주,Y,,,,
H0233,이더스 제로슈가 고구마라떼 150g *10ea,외주,Y,,,,10
H0234,[스낵24]똑똑한스틱카사바30g (더푸른),외주,Y,,,,
H0235,[스낵24]똑똑한스틱고구마30g (더푸른),외주,Y,,,,
H0236,쿠팡)이더스 카사바스틱 250g_더푸른,외주,Y,,,,
H0237,쿠팡)이더스 건조 고구마스틱 1개 300g,외주,Y,,,,
H0239,이더스 오븐에 구운 달콤한 아이스 군고구마 120g(낱봉),외주,Y,,,,
H0247,홈플)김맛카사바스틱210g _ 더푸른,외주,Y,,,,
H0248,롯데)고구마스틱700g,외주,Y,,,,
H0249,청아굿푸드)바삭한고구마스틱 270g,외주,Y,,,,
H0250,이더스 제로슈가 고구마라떼 150g,외주,Y,,,,
H0251,이더스 바삭한 고구마스틱 740g (더푸른),외주,N,,,,
H0253,이더스 아이스찐옥수수 벌크형1kg_ 정성,외주,N,,,,
H0254,자연다움 화덕구이 고구마말랭이 80g (낱봉),외주,Y,,,,
H0255,붉은 황토땅에서 자란 고구마로 만든 노랑 고구마칩 250g (더푸른),외주,Y,,,,
H0256,자연다움 부드러운 롤드오트 1.8kg,외주,Y,,,,
H0257,이더스 아이스 찐 콘립 1kg 벌크형,외주,Y,,,,
H0259,이더스 크리스피바나나칩250g,외주,N,,,,
H0260,컬리_자연다움 고구마 말랭이 선물세트 _ 외주생산,외주,Y,,,,
H0261,붉은 황토땅에서 자란 자색고구마칩 250g,외주,Y,,,,
H0262,이더스 김맛 카사바스틱 210g,외주,Y,,,,
H0263,롯데마트 _ 바삭달콤믹스고구마칩680g,외주,Y,,,,
H0265,자연다움 바로먹는 퀵오트밀_50g (낱봉),외주,Y,,,,
H0266,[자연다움] 국내산 무농약 고구마로 만든 쫀득한 고구마 롱스틱 50g(정성),외주,Y,,,,
H0267,[이더스] 무농약 고구마 롱스틱 50g,외주,Y,,,,
H0270,자연다움 롱스틱 무농약 고구마 50g*5번들 _ 외주,외주,N,,,,
I0009,[로켓프레시] 바로먹는 곤약쌀 2kg(통),외주,N,,,,
I0010,[로켓프레시] 매홍 씻어나온 우슬 250g_(봉),외주,N,,,,
I0011,[로켓프레시] 매홍 씻어나온 산수유 250g_(봉),외주,N,,,,
I0012,[로켓프레시] 매홍 씻어나온 황기 210g_(봉),외주,Y,,,,
I0013,[로켓프레시] 매홍 씻어나온 볶음우엉 220g_(봉),외주,N,,,,
I0014,[로켓프레시] 매홍 씻어나온 돼지감자 220g_(봉),외주,Y,,,,
I0015,[로켓프레시] 매홍 씻어나온 도라지 150g_(봉),외주,Y,,,,
I0016,[로켓프레시] 매홍 씻어나온 둥글래 250g_(봉),외주,Y,,,,
I0019,자연다움 곤약으로 밥 200g 5번들,외주,Y,,,,
I0020,BOX_자연다움 곤약으로 밥 200g*10번들,외주,Y,,,,
I0021,자연다움 곤약으로 밥 200g*30번들,외주,Y,,,,
I0040,자연다움 닭 한마리 간편 삼계재료 35g,외주,Y,,,,
I0041,미사용_자연다움 닭 한마리 간편 삼계재료 35g_3개(x),외주,Y,,,,3
I0042,자연다움 구수한 누룽지 삼계재료 220g,외주,Y,,,,
I0043,자연다움 구수한 누룽지 삼계재료 220g_3개,외주,Y,,,,3
I0044,자연다움 찹쌀 삼계재료 200g 1개,외주,N,,,,
I0045,자연다움 찹쌀 삼계재료 200g 3개,외주,N,,,,
I0060,자연다움 닭 한마리 간편 삼계재료 35g_3개(전용PP제품),외주,N,,,,3
I0065,[F] 라이트잇 (미국산)구수하게 끓여먹는 누룽지 1kg(청통),외주,Y,,,,
I0066,[F] 라이트잇 (미국산)구수하게 끓여먹는 누룽지 3kg(청통),외주,Y,,,,
I0067,[F] 라이트잇 (미국산)구수하게 끓여먹는 누룽지 2kg(청통),외주,Y,,,,
I0068,[F]자연다움 (국산)우리쌀로 만든 구수한 솥뚜껑 누룽지 1kg,외주,N,,,,
I0069,[F]자연다움 (국산)우리쌀로 만든 구수한 솥뚜껑 누룽지 2kg,외주,N,,,,
I0072,[F]자연다움 (국산)우리쌀로 만든 구수한 솥뚜껑 누룽지 3kg(금바우),외주,N,,,,
I0075,[F] 자연다움(국산)우리쌀로 만든 구수한 솥뚜껑 누룽지 3KG(청통),외주,N,,,,
I0078,[F] 착한상점(국산)우리쌀로 만든 구수한 솥뚜껑 누룽지 3KG(청통),외주,N,,,,
I0079,마켓컬리) eatus 달콤바삭 크룽지24g*5ea _제품,외주,Y,,,,5
I0080,온라인)청도대감 아이스홍시 60g*24ea,외주,N,,,,24
I0082,[홈플러스]_솥뚜껑누룽지_800G _리뉴얼파우치 (조운),외주,N,,,,
I0083,[홈플러스]_보리누룽지_700G_리뉴얼파우치 (조운),외주,N,,,,
